train_loss,train_acc,train_combined_loss,train_langts,train_hausdorff,train_acc_md_and_color_color,train_acc_md_or_color_color,train_acc_md_color,train_acc_md_shape,train_acc_md_and_shape_shape,train_acc_md_and_color_shape,train_acc_md_or_shape_shape,train_acc_md_or_color_shape,test_loss,test_acc,test_combined_loss,test_langts,test_hausdorff,test_acc_md_and_color_color,test_acc_md_or_color_color,test_acc_md_color,test_acc_md_shape,test_acc_md_and_shape_shape,test_acc_md_and_color_shape,test_acc_md_or_shape_shape,test_acc_md_or_color_shape,dataset,name,n,train_ts,train_reprts,test_ts,test_reprts
0.2058002617624071,0.8995200059572857,0.2058002617624071,0.08941228500848866,0.0997043201824177,0.9985788114276638,0.998169776780891,0.9999603803444548,0.8848341283621717,0.7816610545443494,0.8614231293356646,0.8190248080755052,0.853641105580651,0.5634979482959298,0.7405338361964506,0.5634979482959298,0.11153748602166956,0.15135616248616968,0.6861176580891889,0.7162433271102089,0.8933880626407866,0.7494678899196002,0.87503587477718,0.6793770386823186,0.6202408657782383,0.6915775514780522,shapeworld,concept,0,,,,
0.22856774429480234,0.9024008465343051,0.22856774429480234,0.07487133540315649,0.05889895833990247,0.9543259431708679,0.9268895241551875,0.9538761282008097,0.9487734818659437,0.8686072264052347,0.8347115700159277,0.8774717691413173,0.8527947589589826,0.5705965722308439,0.7827176613386939,0.5705965722308439,0.12989992719777804,0.15892506978128035,0.6899117770528091,0.7638636486335871,0.9051641681071454,0.8421246265652287,0.8526303264183728,0.6951829672805301,0.7891037643797807,0.6935940403159235,shapeworld,concept,1,,,,
0.2683735125594669,0.8640108414120146,0.2683735125594669,0.127843153557207,0.03246644300708055,0.9981132496407589,0.9983756209428548,0.9997622821008387,0.8351851938784773,0.7338482297434061,0.8035151627214937,0.7575244255064524,0.7862797133481242,0.5277267045834485,0.7341838390546688,0.5277267045834485,0.07244325295774026,0.1699264254792811,0.715073542603675,0.7221925247958639,0.9235636196449583,0.6901509396064355,0.781396475040217,0.6531032999669474,0.6721862083358752,0.7179478727042037,shapeworld,concept,2,,,,
0.31312404076258343,0.8348411192364162,0.31312404076258343,0.09370149057099146,0.07216336339067267,0.9986924174238653,0.998384570713496,0.9997666842932431,0.7313322899192873,0.6826713510096529,0.7957486094900653,0.6968363379459172,0.7775492321766456,0.556234152878032,0.7020941317922927,0.556234152878032,0.13369218657619858,0.13487036302378763,0.6946617761517271,0.7184358400935158,0.9006270066521997,0.663825476049062,0.6852104371740508,0.59011117370662,0.7088698586306676,0.6611074096856905,shapeworld,concept,3,,,,
0.15063761836952633,0.9372125073220994,0.15063761836952633,0.10375925619718729,0.05741032167682403,0.9983627372864871,0.9982190003820559,0.9995399718606612,0.9498266682122932,0.8968631097600096,0.8773602769377523,0.8978263888021737,0.8784566720168255,0.5818276808542364,0.7780382489316601,0.5818276808542364,0.0789486157517302,0.14703095307737296,0.6941911884090478,0.6997326322577218,0.8900364916644246,0.8493421166996838,0.8412721233111943,0.6855257183258153,0.8115447099256317,0.7131016170357,shapeworld,concept,4,,,,
0.13318219615353477,0.9443502867910597,0.13318219615353477,0.08679976489675384,0.07380037511195325,0.9989263118720783,0.9984315565652686,0.9992934494428722,0.9602071308155362,0.9176834627532059,0.8719371600504275,0.9251113887816756,0.8816134980737043,0.2528720550677356,0.8952161924137789,0.2528720550677356,0.12115467100687391,0.17638138741577314,0.9200441257392659,0.9185160531079706,0.9799817602383291,0.8973974550644591,0.9121592607525535,0.8296549459776984,0.8680523564523985,0.8450646278001831,shapeworld,setref,0,,,,
0.14512188732624054,0.9387102862993877,0.14512188732624054,0.14373324632813833,0.04325820293278905,0.9979350440463717,0.9989909159794171,0.9991745904867321,0.9613129760489999,0.914373494371354,0.8711694831599291,0.9211826729525553,0.843276771261671,0.3152373941505657,0.868954427059959,0.3152373941505657,0.11952822206594936,0.19271702063053808,0.8639117788304298,0.8762433266575962,0.9546283660172004,0.8835913421003717,0.8966045041280406,0.8392542973057215,0.8688513333458435,0.769028532971195,shapeworld,setref,1,,,,
0.12950118217203352,0.9454536209424336,0.12950118217203352,0.09677531383398674,0.0745797576071372,0.9972712284213431,0.9982615113951842,0.9984658387953557,0.9618439567215675,0.9190312475430259,0.8895174057515786,0.9268709853312299,0.870715104396539,0.2686050148571239,0.8894941341316001,0.2686050148571239,0.14378590202519875,0.1930196768798751,0.911705892874914,0.9008689925313635,0.9629958987208842,0.8895123929027526,0.909241996659211,0.850324236488055,0.86643123358916,0.832809725736472,shapeworld,setref,2,,,,
0.04333838572104772,0.9854925000296699,0.04333838572104772,0.10121948310572153,0.09553169762976411,0.9993027711572106,0.9997225578462763,0.9995597816202123,0.9979067927853191,0.9949874521725399,0.9507946168212378,0.9960420321688075,0.9442430455535212,0.39005282258286195,0.8601411920575535,0.39005282258286195,0.14021737197530226,0.15758588290085443,0.8471029550363036,0.8526470713277553,0.9570223485776618,0.9231907977281433,0.8624820749563558,0.7993399837727677,0.8634321587388852,0.7621323641608742,shapeworld,setref,3,,,,
0.1760986778471205,0.9243519522137112,0.1760986778471205,0.12305994243967791,-0.026604675502257306,0.9986790518656375,0.9979751197562131,0.9975303750203768,0.9505529268930017,0.8963763505393203,0.8255218971337533,0.9027699109249512,0.822726873664679,0.3389526228694355,0.8566500167706432,0.3389526228694355,0.047293952330634124,0.14305283128762608,0.86241177594837,0.8477807588437023,0.9180232633127778,0.8778057385570495,0.882639893899404,0.8240389198948247,0.854087557717847,0.7849599047698439,shapeworld,setref,4,,,,
