metric,lang_type,value,split,dataset,name,i
acc,acre_<s> not blue and ellipse </s>,0.6660000133514404,train,cub,setref,0
acc,acre_<s> yellow and not rectangle </s>,0.6865384731155175,train,cub,setref,0
acc,ground_truth_1_<s> not blue and ellipse </s>,0.6160000097751618,train,cub,setref,0
acc,ground_truth_1_<s> yellow and not rectangle </s>,0.7488461628556251,train,cub,setref,0
acc,same_concept_<s> not blue and ellipse </s>,0.8140000104904175,train,cub,setref,0
acc,same_concept_<s> yellow and not rectangle </s>,0.7482692438822526,train,cub,setref,0
acc,random_<s> not blue and ellipse </s>,0.5160000130534173,train,cub,setref,0
acc,random_<s> yellow and not rectangle </s>,0.5059615492820739,train,cub,setref,0
acc,any_concept_<s> not blue and ellipse </s>,0.512000013589859,train,cub,setref,0
acc,any_concept_<s> yellow and not rectangle </s>,0.49288462563776053,train,cub,setref,0
acc,closest_concept_<s> not blue and ellipse </s>,0.31000000596046445,train,cub,setref,0
acc,closest_concept_<s> yellow and not rectangle </s>,0.3161538505783448,train,cub,setref,0
acc,ground_truth_2_<s> not blue and ellipse </s>,0.8660000085830688,train,cub,setref,0
acc,ground_truth_2_<s> yellow and not rectangle </s>,0.8138461659734065,train,cub,setref,0
acc,acre_<s> not red or not triangle </s>,0.6540540666193575,train,cub,setref,0
acc,acre_<s> white or ellipse </s>,0.7715000113844872,train,cub,setref,0
acc,ground_truth_1_<s> not red or not triangle </s>,0.8570270367570826,train,cub,setref,0
acc,ground_truth_1_<s> white or ellipse </s>,0.7890000137686729,train,cub,setref,0
acc,same_concept_<s> not red or not triangle </s>,0.8562162280082702,train,cub,setref,0
acc,same_concept_<s> white or ellipse </s>,0.851500009894371,train,cub,setref,0
acc,random_<s> not red or not triangle </s>,0.4954054137339463,train,cub,setref,0
acc,random_<s> white or ellipse </s>,0.4880000098794699,train,cub,setref,0
acc,any_concept_<s> not red or not triangle </s>,0.5051351458639712,train,cub,setref,0
acc,any_concept_<s> white or ellipse </s>,0.474000009521842,train,cub,setref,0
acc,closest_concept_<s> not red or not triangle </s>,0.6002702800003258,train,cub,setref,0
acc,closest_concept_<s> white or ellipse </s>,0.4625000096857548,train,cub,setref,0
acc,ground_truth_2_<s> not red or not triangle </s>,0.9148648745304829,train,cub,setref,0
acc,ground_truth_2_<s> white or ellipse </s>,0.9150000083446502,train,cub,setref,0
acc,acre_<s> red or circle </s>,0.6560606190652558,train,cub,setref,0
acc,acre_<s> not yellow and square </s>,0.7550909225507216,train,cub,setref,0
acc,acre_<s> not red or not square </s>,0.7581818318728245,train,cub,setref,0
acc,ground_truth_1_<s> red or circle </s>,0.7578787996913448,train,cub,setref,0
acc,ground_truth_1_<s> not yellow and square </s>,0.8081818308613518,train,cub,setref,0
acc,ground_truth_1_<s> not red or not square </s>,0.8636363780859745,train,cub,setref,0
acc,same_concept_<s> red or circle </s>,0.7596969810399142,train,cub,setref,0
acc,same_concept_<s> not yellow and square </s>,0.8134545592828231,train,cub,setref,0
acc,same_concept_<s> not red or not square </s>,0.8406060719128811,train,cub,setref,0
acc,random_<s> red or circle </s>,0.5342424364478299,train,cub,setref,0
acc,random_<s> not yellow and square </s>,0.5230909182537685,train,cub,setref,0
acc,random_<s> not red or not square </s>,0.484848493066701,train,cub,setref,0
acc,any_concept_<s> red or circle </s>,0.4875757666925589,train,cub,setref,0
acc,any_concept_<s> not yellow and square </s>,0.5118181914903901,train,cub,setref,0
acc,any_concept_<s> not red or not square </s>,0.49787879739746904,train,cub,setref,0
acc,closest_concept_<s> red or circle </s>,0.36333333872484436,train,cub,setref,0
acc,closest_concept_<s> not yellow and square </s>,0.5709091014753689,train,cub,setref,0
acc,closest_concept_<s> not red or not square </s>,0.5969697106065173,train,cub,setref,0
acc,ground_truth_2_<s> red or circle </s>,0.8872727419390823,train,cub,setref,0
acc,ground_truth_2_<s> not yellow and square </s>,0.8903636505387046,train,cub,setref,0
acc,ground_truth_2_<s> not red or not square </s>,0.8887878891193506,train,cub,setref,0
acc,acre_<s> blue and not square </s>,0.614761917931693,train,cub,setref,0
acc,ground_truth_1_<s> blue and not square </s>,0.6895238206500098,train,cub,setref,0
acc,same_concept_<s> blue and not square </s>,0.6719047719524021,train,cub,setref,0
acc,random_<s> blue and not square </s>,0.49000000889812195,train,cub,setref,0
acc,any_concept_<s> blue and not square </s>,0.4966666763737088,train,cub,setref,0
acc,closest_concept_<s> blue and not square </s>,0.37523810210682096,train,cub,setref,0
acc,ground_truth_2_<s> blue and not square </s>,0.7590476317065102,train,cub,setref,0
acc,acre_<s> not blue and not ellipse </s>,0.721904768830254,train,cub,setref,0
acc,acre_<s> not red and ellipse </s>,0.7242857251848493,train,cub,setref,0
acc,ground_truth_1_<s> not blue and not ellipse </s>,0.883809536979312,train,cub,setref,0
acc,ground_truth_1_<s> not red and ellipse </s>,0.8407142954213279,train,cub,setref,0
acc,same_concept_<s> not blue and not ellipse </s>,0.8857142964998881,train,cub,setref,0
acc,same_concept_<s> not red and ellipse </s>,0.8307142968688692,train,cub,setref,0
acc,random_<s> not blue and not ellipse </s>,0.5547619144121806,train,cub,setref,0
acc,random_<s> not red and ellipse </s>,0.49928572199174337,train,cub,setref,0
acc,any_concept_<s> not blue and not ellipse </s>,0.49190477296000434,train,cub,setref,0
acc,any_concept_<s> not red and ellipse </s>,0.5042857250996998,train,cub,setref,0
acc,closest_concept_<s> not blue and not ellipse </s>,0.6180952500729334,train,cub,setref,0
acc,closest_concept_<s> not red and ellipse </s>,0.4842857199055808,train,cub,setref,0
acc,ground_truth_2_<s> not blue and not ellipse </s>,0.9490476216588701,train,cub,setref,0
acc,ground_truth_2_<s> not red and ellipse </s>,0.9157142962728227,train,cub,setref,0
acc,acre_<s> blue and not circle </s>,0.7109756215316493,train,cub,setref,0
acc,acre_<s> not red and not square </s>,0.6564000120162964,train,cub,setref,0
acc,acre_<s> blue and rectangle </s>,0.7313333471616109,train,cub,setref,0
acc,acre_<s> green or circle </s>,0.570588246864431,train,cub,setref,0
acc,ground_truth_1_<s> blue and not circle </s>,0.7834146485096071,train,cub,setref,0
acc,ground_truth_1_<s> not red and not square </s>,0.719200010061264,train,cub,setref,0
acc,ground_truth_1_<s> blue and rectangle </s>,0.7360000133514404,train,cub,setref,0
acc,ground_truth_1_<s> green or circle </s>,0.7617647164008197,train,cub,setref,0
acc,same_concept_<s> blue and not circle </s>,0.8053658658411444,train,cub,setref,0
acc,same_concept_<s> not red and not square </s>,0.697200011253357,train,cub,setref,0
acc,same_concept_<s> blue and rectangle </s>,0.7630000122388204,train,cub,setref,0
acc,same_concept_<s> green or circle </s>,0.7629411904250875,train,cub,setref,0
acc,random_<s> blue and not circle </s>,0.48634147233352426,train,cub,setref,0
acc,random_<s> not red and not square </s>,0.47160001122951506,train,cub,setref,0
acc,random_<s> blue and rectangle </s>,0.4680000102768342,train,cub,setref,0
acc,random_<s> green or circle </s>,0.5123529523611069,train,cub,setref,0
acc,any_concept_<s> blue and not circle </s>,0.5102439114051621,train,cub,setref,0
acc,any_concept_<s> not red and not square </s>,0.4796000086069107,train,cub,setref,0
acc,any_concept_<s> blue and rectangle </s>,0.5066666747629642,train,cub,setref,0
acc,any_concept_<s> green or circle </s>,0.5035294188296093,train,cub,setref,0
acc,closest_concept_<s> blue and not circle </s>,0.3563414682884042,train,cub,setref,0
acc,closest_concept_<s> not red and not square </s>,0.6052000105381012,train,cub,setref,0
acc,closest_concept_<s> blue and rectangle </s>,0.5050000059604645,train,cub,setref,0
acc,closest_concept_<s> green or circle </s>,0.39000000795897316,train,cub,setref,0
acc,ground_truth_2_<s> blue and not circle </s>,0.8617073280055348,train,cub,setref,0
acc,ground_truth_2_<s> not red and not square </s>,0.8292000131607056,train,cub,setref,0
acc,ground_truth_2_<s> blue and rectangle </s>,0.8406666827201843,train,cub,setref,0
acc,ground_truth_2_<s> green or circle </s>,0.873529424386866,train,cub,setref,0
acc,acre_<s> not red and triangle </s>,0.5723529508446946,train,cub,setref,0
acc,acre_<s> not red or not rectangle </s>,0.6793750131502747,train,cub,setref,0
acc,acre_<s> yellow and rectangle </s>,0.6920000112056732,train,cub,setref,0
acc,acre_<s> red or triangle </s>,0.7047058943439932,train,cub,setref,0
acc,ground_truth_1_<s> not red and triangle </s>,0.7661764818079332,train,cub,setref,0
acc,ground_truth_1_<s> not red or not rectangle </s>,0.8262500131502748,train,cub,setref,0
acc,ground_truth_1_<s> yellow and rectangle </s>,0.7408888979752859,train,cub,setref,0
acc,ground_truth_1_<s> red or triangle </s>,0.866764717242297,train,cub,setref,0
acc,same_concept_<s> not red and triangle </s>,0.7744117754347184,train,cub,setref,0
acc,same_concept_<s> not red or not rectangle </s>,0.8503125118091702,train,cub,setref,0
acc,same_concept_<s> yellow and rectangle </s>,0.7473333430290222,train,cub,setref,0
acc,same_concept_<s> red or triangle </s>,0.8744117768371806,train,cub,setref,0
acc,random_<s> not red and triangle </s>,0.4885294192854096,train,cub,setref,0
acc,random_<s> not red or not rectangle </s>,0.45031250827014446,train,cub,setref,0
acc,random_<s> yellow and rectangle </s>,0.46266667463713224,train,cub,setref,0
acc,random_<s> red or triangle </s>,0.5141176568892072,train,cub,setref,0
acc,any_concept_<s> not red and triangle </s>,0.5352941288229297,train,cub,setref,0
acc,any_concept_<s> not red or not rectangle </s>,0.5081250089453533,train,cub,setref,0
acc,any_concept_<s> yellow and rectangle </s>,0.48955556329753663,train,cub,setref,0
acc,any_concept_<s> red or triangle </s>,0.5061764799934976,train,cub,setref,0
acc,closest_concept_<s> not red and triangle </s>,0.4000000065740417,train,cub,setref,0
acc,closest_concept_<s> not red or not rectangle </s>,0.6328125106170773,train,cub,setref,0
acc,closest_concept_<s> yellow and rectangle </s>,0.41177778313557306,train,cub,setref,0
acc,closest_concept_<s> red or triangle </s>,0.37970588989555837,train,cub,setref,0
acc,ground_truth_2_<s> not red and triangle </s>,0.8688235388082617,train,cub,setref,0
acc,ground_truth_2_<s> not red or not rectangle </s>,0.8871875122189522,train,cub,setref,0
acc,ground_truth_2_<s> yellow and rectangle </s>,0.8280000138282776,train,cub,setref,0
acc,ground_truth_2_<s> red or triangle </s>,0.9405882407637204,train,cub,setref,0
acc,acre_<s> not red or rectangle </s>,0.6573684328480771,train,cub,setref,0
acc,ground_truth_1_<s> not red or rectangle </s>,0.6473684357969385,train,cub,setref,0
acc,same_concept_<s> not red or rectangle </s>,0.6857894859815898,train,cub,setref,0
acc,random_<s> not red or rectangle </s>,0.47000000963085575,train,cub,setref,0
acc,any_concept_<s> not red or rectangle </s>,0.48631579891631477,train,cub,setref,0
acc,closest_concept_<s> not red or rectangle </s>,0.4047368493519331,train,cub,setref,0
acc,ground_truth_2_<s> not red or rectangle </s>,0.7678947505198027,train,cub,setref,0
acc,acre_<s> white or not rectangle </s>,0.7163889022337065,train,cub,setref,0
acc,acre_<s> white and not triangle </s>,0.6920000118017197,train,cub,setref,0
acc,ground_truth_1_<s> white or not rectangle </s>,0.7902777935067813,train,cub,setref,0
acc,ground_truth_1_<s> white and not triangle </s>,0.8100000083446502,train,cub,setref,0
acc,same_concept_<s> white or not rectangle </s>,0.805000012450748,train,cub,setref,0
acc,same_concept_<s> white and not triangle </s>,0.8480000138282776,train,cub,setref,0
acc,random_<s> white or not rectangle </s>,0.4633333401133617,train,cub,setref,0
acc,random_<s> white and not triangle </s>,0.5070000113546849,train,cub,setref,0
acc,any_concept_<s> white or not rectangle </s>,0.4894444548421436,train,cub,setref,0
acc,any_concept_<s> white and not triangle </s>,0.5080000105500221,train,cub,setref,0
acc,closest_concept_<s> white or not rectangle </s>,0.4519444534762038,train,cub,setref,0
acc,closest_concept_<s> white and not triangle </s>,0.39200000643730165,train,cub,setref,0
acc,ground_truth_2_<s> white or not rectangle </s>,0.8883333451218075,train,cub,setref,0
acc,ground_truth_2_<s> white and not triangle </s>,0.9370000004768372,train,cub,setref,0
acc,acre_<s> red or not ellipse </s>,0.7153846286810361,train,cub,setref,0
acc,acre_<s> not gray or rectangle </s>,0.6633333453626343,train,cub,setref,0
acc,ground_truth_1_<s> red or not ellipse </s>,0.8196154002959911,train,cub,setref,0
acc,ground_truth_1_<s> not gray or rectangle </s>,0.7263636511383634,train,cub,setref,0
acc,same_concept_<s> red or not ellipse </s>,0.8207692425984603,train,cub,setref,0
acc,same_concept_<s> not gray or rectangle </s>,0.7448484980698787,train,cub,setref,0
acc,random_<s> red or not ellipse </s>,0.5184615497405712,train,cub,setref,0
acc,random_<s> not gray or rectangle </s>,0.49939394864169034,train,cub,setref,0
acc,any_concept_<s> red or not ellipse </s>,0.4823077008128166,train,cub,setref,0
acc,any_concept_<s> not gray or rectangle </s>,0.5115151611241427,train,cub,setref,0
acc,closest_concept_<s> red or not ellipse </s>,0.30461539030075074,train,cub,setref,0
acc,closest_concept_<s> not gray or rectangle </s>,0.4863636462977438,train,cub,setref,0
acc,ground_truth_2_<s> red or not ellipse </s>,0.9103846261134514,train,cub,setref,0
acc,ground_truth_2_<s> not gray or rectangle </s>,0.8015151666872429,train,cub,setref,0
acc,acre_<s> not blue and rectangle </s>,0.7134482877007846,train,cub,setref,0
acc,acre_<s> gray or not circle </s>,0.7336666784683863,train,cub,setref,0
acc,acre_<s> red and not triangle </s>,0.6240000128000974,train,cub,setref,0
acc,ground_truth_1_<s> not blue and rectangle </s>,0.7934482919758764,train,cub,setref,0
acc,ground_truth_1_<s> gray or not circle </s>,0.8660000119606653,train,cub,setref,0
acc,ground_truth_1_<s> red and not triangle </s>,0.811000011563301,train,cub,setref,0
acc,same_concept_<s> not blue and rectangle </s>,0.8013793217724767,train,cub,setref,0
acc,same_concept_<s> gray or not circle </s>,0.861666677792867,train,cub,setref,0
acc,same_concept_<s> red and not triangle </s>,0.8200000116229057,train,cub,setref,0
acc,random_<s> not blue and rectangle </s>,0.517586217923411,train,cub,setref,0
acc,random_<s> gray or not circle </s>,0.45933334246277807,train,cub,setref,0
acc,random_<s> red and not triangle </s>,0.5265000084787608,train,cub,setref,0
acc,any_concept_<s> not blue and rectangle </s>,0.47517242220969036,train,cub,setref,0
acc,any_concept_<s> gray or not circle </s>,0.5183333437144756,train,cub,setref,0
acc,any_concept_<s> red and not triangle </s>,0.5315000101923942,train,cub,setref,0
acc,closest_concept_<s> not blue and rectangle </s>,0.517586217255428,train,cub,setref,0
acc,closest_concept_<s> gray or not circle </s>,0.3843333387126525,train,cub,setref,0
acc,closest_concept_<s> red and not triangle </s>,0.36650000732392074,train,cub,setref,0
acc,ground_truth_2_<s> not blue and rectangle </s>,0.8865517365521398,train,cub,setref,0
acc,ground_truth_2_<s> gray or not circle </s>,0.9283333428700765,train,cub,setref,0
acc,ground_truth_2_<s> red and not triangle </s>,0.8990000092983246,train,cub,setref,0
acc,acre_<s> blue and not rectangle </s>,0.6022580773599686,train,cub,setref,0
acc,acre_<s> white and not circle </s>,0.7750000126659871,train,cub,setref,0
acc,acre_<s> not blue or rectangle </s>,0.5905000120401382,train,cub,setref,0
acc,acre_<s> red and not square </s>,0.5946666756272316,train,cub,setref,0
acc,acre_<s> not gray and not ellipse </s>,0.6569444566137261,train,cub,setref,0
acc,ground_truth_1_<s> blue and not rectangle </s>,0.6325806581204937,train,cub,setref,0
acc,ground_truth_1_<s> white and not circle </s>,0.8575000107288361,train,cub,setref,0
acc,ground_truth_1_<s> not blue or rectangle </s>,0.7210000100731849,train,cub,setref,0
acc,ground_truth_1_<s> red and not square </s>,0.6986666778723399,train,cub,setref,0
acc,ground_truth_1_<s> not gray and not ellipse </s>,0.8758333447906707,train,cub,setref,0
acc,same_concept_<s> blue and not rectangle </s>,0.6309677545101412,train,cub,setref,0
acc,same_concept_<s> white and not circle </s>,0.840625012665987,train,cub,setref,0
acc,same_concept_<s> not blue or rectangle </s>,0.6995000120997429,train,cub,setref,0
acc,same_concept_<s> red and not square </s>,0.6803333455324173,train,cub,setref,0
acc,same_concept_<s> not gray and not ellipse </s>,0.8644444566633966,train,cub,setref,0
acc,random_<s> blue and not rectangle </s>,0.4893548487655578,train,cub,setref,0
acc,random_<s> white and not circle </s>,0.5187500127591193,train,cub,setref,0
acc,random_<s> not blue or rectangle </s>,0.492500008046627,train,cub,setref,0
acc,random_<s> red and not square </s>,0.5320000116030376,train,cub,setref,0
acc,random_<s> not gray and not ellipse </s>,0.48944445240000883,train,cub,setref,0
acc,any_concept_<s> blue and not rectangle </s>,0.498064525954185,train,cub,setref,0
acc,any_concept_<s> white and not circle </s>,0.4581250091549009,train,cub,setref,0
acc,any_concept_<s> not blue or rectangle </s>,0.4945000085234642,train,cub,setref,0
acc,any_concept_<s> red and not square </s>,0.5010000087320805,train,cub,setref,0
acc,any_concept_<s> not gray and not ellipse </s>,0.5072222309600976,train,cub,setref,0
acc,closest_concept_<s> blue and not rectangle </s>,0.3909677483141422,train,cub,setref,0
acc,closest_concept_<s> white and not circle </s>,0.40625000838190317,train,cub,setref,0
acc,closest_concept_<s> not blue or rectangle </s>,0.4645000087469816,train,cub,setref,0
acc,closest_concept_<s> red and not square </s>,0.37333333998918533,train,cub,setref,0
acc,closest_concept_<s> not gray and not ellipse </s>,0.6216666771305932,train,cub,setref,0
acc,ground_truth_2_<s> blue and not rectangle </s>,0.7170967861529319,train,cub,setref,0
acc,ground_truth_2_<s> white and not circle </s>,0.8793750107288361,train,cub,setref,0
acc,ground_truth_2_<s> not blue or rectangle </s>,0.7765000107884407,train,cub,setref,0
acc,ground_truth_2_<s> red and not square </s>,0.7676666806141536,train,cub,setref,0
acc,ground_truth_2_<s> not gray and not ellipse </s>,0.9394444502062268,train,cub,setref,0
acc,acre_<s> not green and square </s>,0.6662963101157435,train,cub,setref,0
acc,acre_<s> yellow or not triangle </s>,0.689583345875144,train,cub,setref,0
acc,acre_<s> yellow or not ellipse </s>,0.6641176579629674,train,cub,setref,0
acc,ground_truth_1_<s> not green and square </s>,0.8270370467945382,train,cub,setref,0
acc,ground_truth_1_<s> yellow or not triangle </s>,0.7837500087916851,train,cub,setref,0
acc,ground_truth_1_<s> yellow or not ellipse </s>,0.8288235436467564,train,cub,setref,0
acc,same_concept_<s> not green and square </s>,0.7962963079964673,train,cub,setref,0
acc,same_concept_<s> yellow or not triangle </s>,0.818333346148332,train,cub,setref,0
acc,same_concept_<s> yellow or not ellipse </s>,0.8226470740402446,train,cub,setref,0
acc,random_<s> not green and square </s>,0.4885185287506492,train,cub,setref,0
acc,random_<s> yellow or not triangle </s>,0.47708334115644296,train,cub,setref,0
acc,random_<s> yellow or not ellipse </s>,0.49735294913544376,train,cub,setref,0
acc,any_concept_<s> not green and square </s>,0.490000008377764,train,cub,setref,0
acc,any_concept_<s> yellow or not triangle </s>,0.5079166765324772,train,cub,setref,0
acc,any_concept_<s> yellow or not ellipse </s>,0.4850000084323042,train,cub,setref,0
acc,closest_concept_<s> not green and square </s>,0.5577777905596627,train,cub,setref,0
acc,closest_concept_<s> yellow or not triangle </s>,0.37666667252779007,train,cub,setref,0
acc,closest_concept_<s> yellow or not ellipse </s>,0.2932352985967608,train,cub,setref,0
acc,ground_truth_2_<s> not green and square </s>,0.8859259380234612,train,cub,setref,0
acc,ground_truth_2_<s> yellow or not triangle </s>,0.8958333437641461,train,cub,setref,0
acc,ground_truth_2_<s> yellow or not ellipse </s>,0.9173529505729675,train,cub,setref,0
acc,acre_<s> white or not triangle </s>,0.6917142975330353,train,cub,setref,0
acc,acre_<s> not green or circle </s>,0.5919047750177837,train,cub,setref,0
acc,acre_<s> green or ellipse </s>,0.7673684342911369,train,cub,setref,0
acc,acre_<s> yellow and triangle </s>,0.7554545532573353,train,cub,setref,0
acc,ground_truth_1_<s> white or not triangle </s>,0.8211428683144706,train,cub,setref,0
acc,ground_truth_1_<s> not green or circle </s>,0.7495238199120476,train,cub,setref,0
acc,ground_truth_1_<s> green or ellipse </s>,0.8621052713770615,train,cub,setref,0
acc,ground_truth_1_<s> yellow and triangle </s>,0.7827272870323875,train,cub,setref,0
acc,same_concept_<s> white or not triangle </s>,0.8400000136239189,train,cub,setref,0
acc,same_concept_<s> not green or circle </s>,0.7466666775090354,train,cub,setref,0
acc,same_concept_<s> green or ellipse </s>,0.8552631666785793,train,cub,setref,0
acc,same_concept_<s> yellow and triangle </s>,0.7190909158099782,train,cub,setref,0
acc,random_<s> white or not triangle </s>,0.4971428671053478,train,cub,setref,0
acc,random_<s> not green or circle </s>,0.5185714398111616,train,cub,setref,0
acc,random_<s> green or ellipse </s>,0.495263166490354,train,cub,setref,0
acc,random_<s> yellow and triangle </s>,0.49636364633386787,train,cub,setref,0
acc,any_concept_<s> white or not triangle </s>,0.5037142952850887,train,cub,setref,0
acc,any_concept_<s> not green or circle </s>,0.5066666752099991,train,cub,setref,0
acc,any_concept_<s> green or ellipse </s>,0.4889473765304214,train,cub,setref,0
acc,any_concept_<s> yellow and triangle </s>,0.48363637057217684,train,cub,setref,0
acc,closest_concept_<s> white or not triangle </s>,0.5522857259852546,train,cub,setref,0
acc,closest_concept_<s> not green or circle </s>,0.4238095309762728,train,cub,setref,0
acc,closest_concept_<s> green or ellipse </s>,0.4468421150194971,train,cub,setref,0
acc,closest_concept_<s> yellow and triangle </s>,0.33909091556614096,train,cub,setref,0
acc,ground_truth_2_<s> white or not triangle </s>,0.8880000100816999,train,cub,setref,0
acc,ground_truth_2_<s> not green or circle </s>,0.8580952462695893,train,cub,setref,0
acc,ground_truth_2_<s> green or ellipse </s>,0.9536842139143693,train,cub,setref,0
acc,ground_truth_2_<s> yellow and triangle </s>,0.8509091041304848,train,cub,setref,0
acc,acre_<s> not green and not circle </s>,0.6459259383104465,train,cub,setref,0
acc,acre_<s> gray or ellipse </s>,0.7692000107765198,train,cub,setref,0
acc,acre_<s> not red and circle </s>,0.6884615499239701,train,cub,setref,0
acc,ground_truth_1_<s> not green and not circle </s>,0.7870370502825137,train,cub,setref,0
acc,ground_truth_1_<s> gray or ellipse </s>,0.9060000095367432,train,cub,setref,0
acc,ground_truth_1_<s> not red and circle </s>,0.8419230869183174,train,cub,setref,0
acc,same_concept_<s> not green and not circle </s>,0.7807407516020316,train,cub,setref,0
acc,same_concept_<s> gray or ellipse </s>,0.9028000082969666,train,cub,setref,0
acc,same_concept_<s> not red and circle </s>,0.8415384691495161,train,cub,setref,0
acc,random_<s> not green and not circle </s>,0.49481482472684646,train,cub,setref,0
acc,random_<s> gray or ellipse </s>,0.47160000836849214,train,cub,setref,0
acc,random_<s> not red and circle </s>,0.4776923184497998,train,cub,setref,0
acc,any_concept_<s> not green and not circle </s>,0.5059259327473464,train,cub,setref,0
acc,any_concept_<s> gray or ellipse </s>,0.5448000112175941,train,cub,setref,0
acc,any_concept_<s> not red and circle </s>,0.4892307776098068,train,cub,setref,0
acc,closest_concept_<s> not green and not circle </s>,0.5996296421245292,train,cub,setref,0
acc,closest_concept_<s> gray or ellipse </s>,0.4304000081419945,train,cub,setref,0
acc,closest_concept_<s> not red and circle </s>,0.4315384704333085,train,cub,setref,0
acc,ground_truth_2_<s> not green and not circle </s>,0.8959259408491629,train,cub,setref,0
acc,ground_truth_2_<s> gray or ellipse </s>,0.9560000047683715,train,cub,setref,0
acc,ground_truth_2_<s> not red and circle </s>,0.9057692436071543,train,cub,setref,0
acc,acre_<s> green or not circle </s>,0.6237037129976132,train,cub,setref,0
acc,acre_<s> not white and not square </s>,0.5852174038472383,train,cub,setref,0
acc,ground_truth_1_<s> green or not circle </s>,0.8329629719257354,train,cub,setref,0
acc,ground_truth_1_<s> not white and not square </s>,0.6230434895209644,train,cub,setref,0
acc,same_concept_<s> green or not circle </s>,0.8551851952517474,train,cub,setref,0
acc,same_concept_<s> not white and not square </s>,0.6708695748577947,train,cub,setref,0
acc,random_<s> green or not circle </s>,0.481481490229015,train,cub,setref,0
acc,random_<s> not white and not square </s>,0.49391305265219315,train,cub,setref,0
acc,any_concept_<s> green or not circle </s>,0.49703704689939815,train,cub,setref,0
acc,any_concept_<s> not white and not square </s>,0.4978260964155197,train,cub,setref,0
acc,closest_concept_<s> green or not circle </s>,0.384074080845824,train,cub,setref,0
acc,closest_concept_<s> not white and not square </s>,0.5708695760239726,train,cub,setref,0
acc,ground_truth_2_<s> green or not circle </s>,0.8959259342264246,train,cub,setref,0
acc,ground_truth_2_<s> not white and not square </s>,0.8052174023959948,train,cub,setref,0
acc,acre_<s> blue and triangle </s>,0.6882608795943468,train,cub,setref,0
acc,ground_truth_1_<s> blue and triangle </s>,0.7404347917307978,train,cub,setref,0
acc,same_concept_<s> blue and triangle </s>,0.7543478385261867,train,cub,setref,0
acc,random_<s> blue and triangle </s>,0.4891304459908734,train,cub,setref,0
acc,any_concept_<s> blue and triangle </s>,0.5065217472936796,train,cub,setref,0
acc,closest_concept_<s> blue and triangle </s>,0.471739134905131,train,cub,setref,0
acc,ground_truth_2_<s> blue and triangle </s>,0.8069565358369247,train,cub,setref,0
acc,acre_<s> not blue and not triangle </s>,0.7115384743763851,train,cub,setref,0
acc,acre_<s> green or not square </s>,0.6745454667192516,train,cub,setref,0
acc,acre_<s> not gray or not rectangle </s>,0.6290000128746033,train,cub,setref,0
acc,acre_<s> yellow or rectangle </s>,0.676000011364619,train,cub,setref,0
acc,acre_<s> gray or not rectangle </s>,0.702826099810393,train,cub,setref,0
acc,ground_truth_1_<s> not blue and not triangle </s>,0.8497436005335588,train,cub,setref,0
acc,ground_truth_1_<s> green or not square </s>,0.8409091049974615,train,cub,setref,0
acc,ground_truth_1_<s> not gray or not rectangle </s>,0.7130000132322312,train,cub,setref,0
acc,ground_truth_1_<s> yellow or rectangle </s>,0.6460000093777974,train,cub,setref,0
acc,ground_truth_1_<s> gray or not rectangle </s>,0.7589130566171978,train,cub,setref,0
acc,same_concept_<s> not blue and not triangle </s>,0.8543589839568505,train,cub,setref,0
acc,same_concept_<s> green or not square </s>,0.8145454663218874,train,cub,setref,0
acc,same_concept_<s> not gray or not rectangle </s>,0.7480000132322311,train,cub,setref,0
acc,same_concept_<s> yellow or rectangle </s>,0.7273333462079367,train,cub,setref,0
acc,same_concept_<s> gray or not rectangle </s>,0.7815217518288157,train,cub,setref,0
acc,random_<s> not blue and not triangle </s>,0.5266666781825897,train,cub,setref,0
acc,random_<s> green or not square </s>,0.5233333445408127,train,cub,setref,0
acc,random_<s> not gray or not rectangle </s>,0.4600000086426735,train,cub,setref,0
acc,random_<s> yellow or rectangle </s>,0.500000008046627,train,cub,setref,0
acc,random_<s> gray or not rectangle </s>,0.5145652278933837,train,cub,setref,0
acc,any_concept_<s> not blue and not triangle </s>,0.503076933324337,train,cub,setref,0
acc,any_concept_<s> green or not square </s>,0.5036363737149672,train,cub,setref,0
acc,any_concept_<s> not gray or not rectangle </s>,0.45900000900030136,train,cub,setref,0
acc,any_concept_<s> yellow or rectangle </s>,0.5253333407640457,train,cub,setref,0
acc,any_concept_<s> gray or not rectangle </s>,0.4802173983143724,train,cub,setref,0
acc,closest_concept_<s> not blue and not triangle </s>,0.6264102679796708,train,cub,setref,0
acc,closest_concept_<s> green or not square </s>,0.41181818971579726,train,cub,setref,0
acc,closest_concept_<s> not gray or not rectangle </s>,0.5410000097751617,train,cub,setref,0
acc,closest_concept_<s> yellow or rectangle </s>,0.41933333992958066,train,cub,setref,0
acc,closest_concept_<s> gray or not rectangle </s>,0.4582608782402847,train,cub,setref,0
acc,ground_truth_2_<s> not blue and not triangle </s>,0.9274359088677626,train,cub,setref,0
acc,ground_truth_2_<s> green or not square </s>,0.9006060723102454,train,cub,setref,0
acc,ground_truth_2_<s> not gray or not rectangle </s>,0.8280000138282776,train,cub,setref,0
acc,ground_truth_2_<s> yellow or rectangle </s>,0.8533333500226339,train,cub,setref,0
acc,ground_truth_2_<s> gray or not rectangle </s>,0.884565230037855,train,cub,setref,0
