metric,lang_type,value,split,dataset,name,i
loss,random,1.1727349758148193,test,cub,concept,2
acc,random,0.5082956167520799,test,cub,concept,2
bleu,random,0.639436943345746,test,cub,concept,2
loss,any_concept,1.8942375183105469,test,cub,concept,2
acc,any_concept,0.4965912218893892,test,cub,concept,2
bleu,any_concept,0.5558189081225027,test,cub,concept,2
loss,closest_concept,1.61241614818573,test,cub,concept,2
acc,closest_concept,0.47691079509034057,test,cub,concept,2
bleu,closest_concept,0.7621571238348911,test,cub,concept,2
loss,ground_truth_2,0.3036230802536011,test,cub,concept,2
acc,ground_truth_2,0.8600466161787748,test,cub,concept,2
bleu,ground_truth_2,0.4752330226364861,test,cub,concept,2
n,,2.44148244473342,test,cub,concept,2
loss,acre,0.4316200017929077,train,cub,concept,3
acc,acre,0.7857325609525044,train,cub,concept,3
bleu,acre,0.8966634130470152,train,cub,concept,3
loss,ground_truth_1,0.3294055759906769,train,cub,concept,3
acc,ground_truth_1,0.8256095724428149,train,cub,concept,3
bleu,ground_truth_1,1.0,train,cub,concept,3
loss,same_concept,0.3298588991165161,train,cub,concept,3
acc,same_concept,0.8257550102120321,train,cub,concept,3
bleu,same_concept,1.0,train,cub,concept,3
loss,random,1.0301055908203125,train,cub,concept,3
acc,random,0.5058999611637311,train,cub,concept,3
bleu,random,0.6475256222547592,train,cub,concept,3
loss,any_concept,2.0087783336639404,train,cub,concept,3
acc,any_concept,0.5057989342693238,train,cub,concept,3
bleu,any_concept,0.5635685700341639,train,cub,concept,3
loss,closest_concept,1.733901858329773,train,cub,concept,3
acc,closest_concept,0.5060336842354826,train,cub,concept,3
bleu,closest_concept,0.6723865300146413,train,cub,concept,3
loss,ground_truth_2,0.3278651237487793,train,cub,concept,3
acc,ground_truth_2,0.826772579831458,train,cub,concept,3
bleu,ground_truth_2,0.9986295754026406,train,cub,concept,3
n,,29.738751814223512,train,cub,concept,3
loss,acre,0.9104864597320557,test,cub,concept,3
acc,acre,0.6413715165852508,test,cub,concept,3
bleu,acre,0.8610157546502515,test,cub,concept,3
loss,ground_truth_1,0.4275684356689453,test,cub,concept,3
acc,ground_truth_1,0.7767177216063803,test,cub,concept,3
bleu,ground_truth_1,1.0,test,cub,concept,3
loss,same_concept,0.4263874292373657,test,cub,concept,3
acc,same_concept,0.7793209176922289,test,cub,concept,3
bleu,same_concept,1.0,test,cub,concept,3
loss,random,1.0171599388122559,test,cub,concept,3
acc,random,0.5131757763885308,test,cub,concept,3
bleu,random,0.6526180513680375,test,cub,concept,3
loss,any_concept,1.9930180311203003,test,cub,concept,3
acc,any_concept,0.5083022740288835,test,cub,concept,3
bleu,any_concept,0.5731025299600535,test,cub,concept,3
loss,closest_concept,1.2414839267730713,test,cub,concept,3
acc,closest_concept,0.5734287731438756,test,cub,concept,3
bleu,closest_concept,0.7626897470039972,test,cub,concept,3
loss,ground_truth_2,0.42444294691085815,test,cub,concept,3
acc,ground_truth_2,0.7789813708647907,test,cub,concept,3
bleu,ground_truth_2,0.9980559254327573,test,cub,concept,3
n,,2.4769129287598943,test,cub,concept,3
loss,acre,0.6175765991210938,train,cub,concept,4
acc,acre,0.8046744851381852,train,cub,concept,4
bleu,acre,0.8464971530828055,train,cub,concept,4
loss,ground_truth_1,0.18850795924663544,train,cub,concept,4
acc,ground_truth_1,0.9242279262394949,train,cub,concept,4
bleu,ground_truth_1,1.0,train,cub,concept,4
loss,same_concept,0.18544892966747284,train,cub,concept,4
acc,same_concept,0.9255641879763121,train,cub,concept,4
bleu,same_concept,1.0,train,cub,concept,4
loss,random,1.3112947940826416,train,cub,concept,4
acc,random,0.5013972755372088,train,cub,concept,4
bleu,random,0.6085505124450947,train,cub,concept,4
loss,any_concept,2.7383830547332764,train,cub,concept,4
acc,any_concept,0.500326997031521,train,cub,concept,4
bleu,any_concept,0.5060634455832104,train,cub,concept,4
loss,closest_concept,2.39635968208313,train,cub,concept,4
acc,closest_concept,0.4732542779720254,train,cub,concept,4
bleu,closest_concept,0.610483162518302,train,cub,concept,4
loss,ground_truth_2,0.18366751074790955,train,cub,concept,4
acc,ground_truth_2,0.9262562340273981,train,cub,concept,4
bleu,ground_truth_2,0.9985085407515922,train,cub,concept,4
n,,29.738751814223512,train,cub,concept,4
loss,acre,1.1255923509597778,test,cub,concept,4
acc,acre,0.6731957513576103,test,cub,concept,4
bleu,acre,0.7870741323054556,test,cub,concept,4
loss,ground_truth_1,0.2726171612739563,test,cub,concept,4
acc,ground_truth_1,0.8728362294948212,test,cub,concept,4
bleu,ground_truth_1,1.0,test,cub,concept,4
loss,same_concept,0.27030983567237854,test,cub,concept,4
acc,same_concept,0.8752729811816019,test,cub,concept,4
bleu,same_concept,1.0,test,cub,concept,4
loss,random,1.2893834114074707,test,cub,concept,4
acc,random,0.5093408895758156,test,cub,concept,4
bleu,random,0.63254932776283,test,cub,concept,4
loss,any_concept,2.7723641395568848,test,cub,concept,4
acc,any_concept,0.49515314028113483,test,cub,concept,4
bleu,any_concept,0.5266311584553921,test,cub,concept,4
loss,closest_concept,1.6024153232574463,test,cub,concept,4
acc,closest_concept,0.547949412436821,test,cub,concept,4
bleu,closest_concept,0.7900133155792333,test,cub,concept,4
loss,ground_truth_2,0.27174338698387146,test,cub,concept,4
acc,ground_truth_2,0.873741689471208,test,cub,concept,4
bleu,ground_truth_2,0.9982423435419452,test,cub,concept,4
n,,2.4502446982055464,test,cub,concept,4
loss,acre,0.44445377588272095,train,cub,setref,0
acc,acre,0.8500688239148095,train,cub,setref,0
bleu,acre,0.9526533268261025,train,cub,setref,0
acc,acre_<s> not white or not rectangle </s>,0.6234782726868339,train,cub,setref,0
acc,acre_<s> gray </s>,0.9962934366064182,train,cub,setref,0
acc,acre_<s> green or square </s>,0.5908000133037568,train,cub,setref,0
acc,acre_<s> not blue and not circle </s>,0.7838888989554511,train,cub,setref,0
acc,acre_<s> ellipse </s>,0.9947572829422442,train,cub,setref,0
acc,acre_<s> not square and not rectangle </s>,0.9136969769001007,train,cub,setref,0
acc,acre_<s> not square and not ellipse </s>,0.706949163629847,train,cub,setref,0
acc,acre_<s> square </s>,0.8321340095464408,train,cub,setref,0
acc,acre_<s> red or gray </s>,0.9824056617775053,train,cub,setref,0
acc,acre_<s> not blue or not square </s>,0.6112903311367958,train,cub,setref,0
acc,acre_<s> not circle and not triangle </s>,0.8971000067194302,train,cub,setref,0
acc,acre_<s> not yellow and not gray </s>,0.9609473725996519,train,cub,setref,0
acc,acre_<s> not blue and not white </s>,0.9523737404081557,train,cub,setref,0
acc,acre_<s> blue or white </s>,0.9336966877300027,train,cub,setref,0
acc,acre_<s> circle or triangle </s>,0.8720073064095782,train,cub,setref,0
acc,acre_<s> not rectangle </s>,0.7952480540263124,train,cub,setref,0
acc,acre_<s> not yellow or not rectangle </s>,0.6141176567358129,train,cub,setref,0
acc,acre_<s> not green and not white </s>,0.9426693257107678,train,cub,setref,0
acc,acre_<s> triangle </s>,0.9872769988198795,train,cub,setref,0
acc,acre_<s> not red and not white </s>,0.9515384638374978,train,cub,setref,0
acc,acre_<s> not yellow </s>,0.9972580650544935,train,cub,setref,0
acc,acre_<s> circle </s>,0.9903178507803705,train,cub,setref,0
acc,acre_<s> not circle and not rectangle </s>,0.708858706769736,train,cub,setref,0
acc,acre_<s> red or green </s>,0.926513767871288,train,cub,setref,0
acc,acre_<s> not blue and not green </s>,0.9108900566843792,train,cub,setref,0
acc,acre_<s> not white and ellipse </s>,0.6935714444943837,train,cub,setref,0
loss,ground_truth_1,0.23907186090946198,train,cub,setref,0
acc,ground_truth_1,0.9062167011952621,train,cub,setref,0
bleu,ground_truth_1,1.0,train,cub,setref,0
acc,ground_truth_1_<s> not white or not rectangle </s>,0.7556521825168444,train,cub,setref,0
acc,ground_truth_1_<s> gray </s>,0.9950193060410989,train,cub,setref,0
acc,ground_truth_1_<s> green or square </s>,0.6868000111579895,train,cub,setref,0
acc,ground_truth_1_<s> not blue and not circle </s>,0.848333340883255,train,cub,setref,0
acc,ground_truth_1_<s> ellipse </s>,0.9952038850599122,train,cub,setref,0
acc,ground_truth_1_<s> not square and not rectangle </s>,0.980000004082015,train,cub,setref,0
acc,ground_truth_1_<s> not square and not ellipse </s>,0.7837288259449652,train,cub,setref,0
acc,ground_truth_1_<s> square </s>,0.8431265639164311,train,cub,setref,0
acc,ground_truth_1_<s> red or gray </s>,0.996367924955656,train,cub,setref,0
acc,ground_truth_1_<s> not blue or not square </s>,0.7525806586588583,train,cub,setref,0
acc,ground_truth_1_<s> not circle and not triangle </s>,0.967633336563905,train,cub,setref,0
acc,ground_truth_1_<s> not yellow and not gray </s>,0.9957368425946487,train,cub,setref,0
acc,ground_truth_1_<s> not blue and not white </s>,0.9952525261074605,train,cub,setref,0
acc,ground_truth_1_<s> blue or white </s>,0.9894312815078626,train,cub,setref,0
acc,ground_truth_1_<s> circle or triangle </s>,0.9633211733215917,train,cub,setref,0
acc,ground_truth_1_<s> not rectangle </s>,0.8184334342846983,train,cub,setref,0
acc,ground_truth_1_<s> not yellow or not rectangle </s>,0.7876470706042121,train,cub,setref,0
acc,ground_truth_1_<s> not green and not white </s>,0.9989243030073158,train,cub,setref,0
acc,ground_truth_1_<s> triangle </s>,0.9891079841085443,train,cub,setref,0
acc,ground_truth_1_<s> not red and not white </s>,0.995000000510897,train,cub,setref,0
acc,ground_truth_1_<s> not yellow </s>,0.9995806453304906,train,cub,setref,0
acc,ground_truth_1_<s> circle </s>,0.9885330107509361,train,cub,setref,0
acc,ground_truth_1_<s> not circle and not rectangle </s>,0.754864141361221,train,cub,setref,0
acc,ground_truth_1_<s> red or green </s>,0.9940825695291572,train,cub,setref,0
acc,ground_truth_1_<s> not blue and not green </s>,0.9929319380465602,train,cub,setref,0
acc,ground_truth_1_<s> not white and ellipse </s>,0.8135714428765434,train,cub,setref,0
loss,same_concept,0.24446454644203186,train,cub,setref,0
acc,same_concept,0.9058296831635047,train,cub,setref,0
bleu,same_concept,1.0,train,cub,setref,0
acc,same_concept_<s> not white or not rectangle </s>,0.7491304485694222,train,cub,setref,0
acc,same_concept_<s> gray </s>,0.9941698849431336,train,cub,setref,0
acc,same_concept_<s> green or square </s>,0.6888000113964081,train,cub,setref,0
acc,same_concept_<s> not blue and not circle </s>,0.8038889010747273,train,cub,setref,0
acc,same_concept_<s> ellipse </s>,0.9953980591459182,train,cub,setref,0
acc,same_concept_<s> not square and not rectangle </s>,0.9803939432808847,train,cub,setref,0
acc,same_concept_<s> not square and not ellipse </s>,0.7898983176582951,train,cub,setref,0
acc,same_concept_<s> square </s>,0.8395037354369909,train,cub,setref,0
acc,same_concept_<s> red or gray </s>,0.9970754720692364,train,cub,setref,0
acc,same_concept_<s> not blue or not square </s>,0.778709688782692,train,cub,setref,0
acc,same_concept_<s> not circle and not triangle </s>,0.9758000028530757,train,cub,setref,0
acc,same_concept_<s> not yellow and not gray </s>,0.9938421058027368,train,cub,setref,0
acc,same_concept_<s> not blue and not white </s>,0.9942424254585999,train,cub,setref,0
acc,same_concept_<s> blue or white </s>,0.9873459731233063,train,cub,setref,0
acc,same_concept_<s> circle or triangle </s>,0.9566058447543722,train,cub,setref,0
acc,same_concept_<s> not rectangle </s>,0.8145430937915185,train,cub,setref,0
acc,same_concept_<s> not yellow or not rectangle </s>,0.8082353076514076,train,cub,setref,0
acc,same_concept_<s> not green and not white </s>,0.9984462153864097,train,cub,setref,0
