entropy,mi,ami,dataset,name,n
1.6331156066479413,4.510371319516517,0.11837801308670187,cub,concept,0
1.5466022351551711,4.291942729886235,0.1776991428447999,cub,concept,1
1.5601179371909923,4.261258470522097,0.14958659981197897,cub,concept,2
1.5293395087557538,4.228101737994926,0.16946933151942994,cub,concept,3
1.5626476060964882,4.201689338266043,0.16025220852541947,cub,concept,4
1.8255186422238268,4.840272821412587,0.0019345830064642047,cub,ref,0
1.8077655363001737,4.8680936277586255,0.00208153400860934,cub,ref,1
1.7711987090128734,4.7215929875058595,0.008006663630320415,cub,ref,2
1.8158819302866818,4.916965563183879,-5.644758417543724e-05,cub,ref,3
1.809407012358837,4.882220788668921,0.006966962270611818,cub,ref,4
