entropy,mi,ami,dataset,name,n
2.2093803560360468,4.185107496099842,0.7021905944415986,shapeworld,concept,0
2.6251960762533337,4.239106385658654,0.6598859367064333,shapeworld,concept,1
2.5029054317262434,3.884763034258132,0.6259266952679687,shapeworld,concept,2
2.6236176266831506,3.8226325262756853,0.5535762970271595,shapeworld,concept,3
2.225456490335045,4.423188556567914,0.7381109665523741,shapeworld,concept,4
4.438134359159146,4.752218705187066,0.5336519543126004,shapeworld,setref,0
3.9376269959342243,4.52247501209383,0.5815057953092816,shapeworld,setref,1
4.438816441461378,4.769577626855851,0.5308972076596798,shapeworld,setref,2
3.031252031911269,4.89785949837724,0.7368435615073412,shapeworld,setref,3
3.827403568366585,4.30896077781598,0.5876489056432914,shapeworld,setref,4
7.403068607359769,0.7238052765726448,0.03935951759737915,shapeworld_ref,ref,0
7.157022918451367,0.6510144194241856,0.03497163694118567,shapeworld_ref,ref,1
7.595897522415705,0.8409509120896576,0.03986717686890306,shapeworld_ref,ref,2
7.2488655823615,0.6526268428216195,0.04340641778566053,shapeworld_ref,ref,3
7.239346357108289,0.6259631814341052,0.03937552242639224,shapeworld_ref,ref,4
4.411849208114256,3.7634574773610714,0.2337881193451874,cub,concept,0
4.131945074522094,3.448142125908006,0.2615761712990939,cub,concept,1
4.181427578226807,3.1628998071922343,0.24785229987232818,cub,concept,2
3.993182955618935,3.3876736521822033,0.2738490710108372,cub,concept,3
3.8659078666618427,3.4363745097298763,0.29670312718643543,cub,concept,4
5.22164307549332,3.583938839811424,0.1513846009376826,cub,setref,0
5.28624274359154,3.5372545711850165,0.17865503461611687,cub,setref,1
5.136257273609566,3.4921218751271987,0.17810386321914118,cub,setref,2
5.057495054360469,3.605426970383841,0.19325408746492692,cub,setref,3
5.262273764852274,3.88142458739194,0.15194060014406388,cub,setref,4
5.849865345193376,2.889602340175428,0.050527803068829126,cub,ref,0
5.652662946639288,3.41019069266343,0.04875325254684203,cub,ref,1
5.669774554848858,2.7781362437803327,0.05281806374596021,cub,ref,2
6.098157830303225,3.367842876994114,0.04737720450510338,cub,ref,3
5.999798904361733,3.2783029233741177,0.055814035762309554,cub,ref,4
6.051488946316471,3.6034893732272866,0.050757089148089234,cub,ref_xent,0
5.879751630048707,3.2521256998870753,0.061085131547745954,cub,ref_xent,1
6.144766205209828,3.8257102017975573,0.05205848345547693,cub,ref_xent,2
5.978287426522914,3.5154225529896785,0.048829650167340644,cub,ref_xent,3
6.006324702881124,3.46510561644561,0.053250740200572494,cub,ref_xent,4
