entropy,mi,ami,dataset,name,n
2.191568446239024,2.516479131269158,0.6114148758387248,shapeworld,concept,0
2.558531754276117,2.3869916841096144,0.5628406579417454,shapeworld,concept,1
2.5518901752874124,2.6654119358466755,0.6090660345627259,shapeworld,concept,2
1.0551294562860307,1.8319116024609134,0.5795729145448762,shapeworld,concept,3
2.198506244975307,2.790021285880391,0.6585585174296616,shapeworld,concept,4
5.789654860470021,2.5884766550220824,0.36069860033836504,shapeworld,setref,0
5.317888764640141,2.801951650372955,0.42096441137189833,shapeworld,setref,1
5.87662807535197,2.790749183274444,0.3775806546493515,shapeworld,setref,2
3.4953992839225663,3.0246391539974162,0.5855943998851909,shapeworld,setref,3
4.803393699008478,2.404754308983962,0.4161843088182263,shapeworld,setref,4
4.643301398878311,3.6486029526548656,0.18652485573812666,cub,concept,0
4.464335864598765,3.309262808301819,0.19509602554569905,cub,concept,1
4.463248161240915,2.9766355170202834,0.17945636279521454,cub,concept,2
4.2955950415250905,3.208083932176047,0.21085041582264316,cub,concept,3
4.195860034688365,3.242417068454659,0.22968086533711107,cub,concept,4
5.299657640497195,3.422872855200826,0.123621913253165,cub,setref,0
5.342693733767903,3.308509748456362,0.14999467344762263,cub,setref,1
5.20630091745191,3.3406761438877792,0.1480502603892447,cub,setref,2
5.1348189941403914,3.3975612405911604,0.15929968207140593,cub,setref,3
5.3344935634031545,3.7658525978089674,0.12752203426880676,cub,setref,4
5.849865345193376,2.889602340175428,0.050527803068829126,cub,ref,0
5.652662946639288,3.41019069266343,0.04875325254684203,cub,ref,1
5.669774554848858,2.7781362437803327,0.05281806374596021,cub,ref,2
6.098157830303225,3.367842876994114,0.04737720450510338,cub,ref,3
5.999798904361733,3.2783029233741177,0.055814035762309554,cub,ref,4
